,source,estimate,pvals,log10_pval
139,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,2.1659677,0.0068238927,2.1659677
146,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,2.5394802,0.0028874855,2.5394802
147,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,1.3920043,0.040550455,1.3920043
148,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,1.1901963,0.06453626,1.1901963
150,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,5.4083953,3.9048546e-06,5.4083953
151,REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,5.467737,3.406141e-06,5.467737
152,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,6.163647,6.8604555e-07,6.163647
153,REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,3.8250585,0.0001496034,3.8250585
154,REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,1.2770948,0.05283299,1.2770948
156,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,2.0235612,0.009471936,2.0235612
160,REACTOME_ACTIVATION_OF_SMO,0.85094035,0.14094824,0.85094035
161,REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.7893312,0.16243096,0.7893312
162,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,29.438278,3.6452e-30,29.438278
163,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.58159244,0.26206413,0.58159244
165,REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,0.9247611,0.11891562,0.9247611
166,REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,1.0934682,0.08063654,1.0934682
167,REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,0.5520306,0.2805236,0.5520306
168,REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,0.52502334,0.2985222,0.52502334
169,REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,0.47731784,0.33318248,0.47731784
170,REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0.7893312,0.16243096,0.7893312
172,REACTOME_AGGREPHAGY,2.4925175,0.0032172333,2.4925175
173,REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,0.65030456,0.22371517,0.65030456
174,REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,2.057867,0.008752515,2.057867
176,REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,2.9333236,0.0011659405,2.9333236
179,REACTOME_AMYLOID_FIBER_FORMATION,2.866451,0.0013600315,2.866451
180,REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,1.4165119,0.038325526,1.4165119
183,REACTOME_ANTIMICROBIAL_PEPTIDES,0.9247611,0.11891562,0.9247611
184,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,1.6899227,0.020421015,1.6899227
185,REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,1.9519101,0.011170944,1.9519101
186,REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,1.9519101,0.011170944,1.9519101
187,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0.7083852,0.1957108,0.7083852
188,REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,0.61689705,0.24160334,0.61689705
191,REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.52502334,0.2985222,0.52502334
192,REACTOME_APOPTOTIC_EXECUTION_PHASE,0.38453624,0.4125378,0.38453624
194,REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,1.9519101,0.011170944,1.9519101
195,REACTOME_ARACHIDONIC_ACID_METABOLISM,0.69079316,0.20380124,0.69079316
196,REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,1.0182391,0.095887244,1.0182391
198,REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,2.9333236,0.0011659405,2.9333236
199,REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX,0.8701877,0.134838,0.8701877
201,REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.90808195,0.123571426,0.90808195
203,REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,0.65030456,0.22371517,0.65030456
204,REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,0.7366539,0.1833775,0.7366539
205,REACTOME_ATTENUATION_PHASE,0.41794306,0.38199437,0.41794306
206,REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,1.4436395,0.036004804,1.4436395
207,REACTOME_AURKA_ACTIVATION_BY_TPX2,1.162283,0.06882037,1.162283
209,REACTOME_BASE_EXCISION_REPAIR,0.31653327,0.482466,0.31653327
211,REACTOME_BASIGIN_INTERACTIONS,0.58159244,0.26206413,0.58159244
218,REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,0.9247611,0.11891562,0.9247611
220,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,1.699238,0.019987667,1.699238
223,REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,0.9247611,0.11891562,0.9247611
224,REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,1.3920043,0.040550455,1.3920043
226,REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,2.0896838,0.008134226,2.0896838
229,REACTOME_CA2_PATHWAY,1.3808315,0.0416072,1.3808315
231,REACTOME_CALNEXIN_CALRETICULIN_CYCLE,1.8303802,0.014778139,1.8303802
232,REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,0.85094035,0.14094824,0.85094035
233,REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,2.0896838,0.008134226,2.0896838
235,REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,0.3050254,0.4954212,0.3050254
238,REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,0.9247611,0.11891562,0.9247611
239,REACTOME_CA_DEPENDENT_EVENTS,1.2261717,0.05940572,1.2261717
241,REACTOME_CD28_CO_STIMULATION,0.41794306,0.38199437,0.41794306
242,REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,0.52502334,0.2985222,0.52502334
244,REACTOME_CELLULAR_HEXOSE_TRANSPORT,2.057867,0.008752515,2.057867
245,REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,2.3505898,0.0044607734,2.3505898
246,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,0.92041993,0.12011025,0.92041993
247,REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,1.9180675,0.012076263,1.9180675
248,REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,0.7893312,0.16243096,0.7893312
249,REACTOME_CELL_JUNCTION_ORGANIZATION,1.3808315,0.0416072,1.3808315
251,REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,3.499626,0.00031650026,3.499626
252,REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,4.3564157,4.401332e-05,4.3564157
253,REACTOME_CHOLESTEROL_BIOSYNTHESIS,6.142229,7.2072703e-07,6.142229
256,REACTOME_CIRCADIAN_CLOCK,6.8000817,1.5845957e-07,6.8000817
258,REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,1.8303802,0.014778139,1.8303802
261,REACTOME_CLEC7A_DECTIN_1_SIGNALING,1.0439503,0.0903753,1.0439503
264,REACTOME_COHESIN_LOADING_ONTO_CHROMATIN,0.69079316,0.20380124,0.69079316
265,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,2.433616,0.003684547,2.433616
267,REACTOME_COLLAGEN_FORMATION,2.1659677,0.0068238927,2.1659677
268,REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION,0.85094035,0.14094824,0.85094035
269,REACTOME_COMPLEX_I_BIOGENESIS,0.15727746,0.6961816,0.15727746
270,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,0.9247611,0.11891562,0.9247611
272,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,1.1347517,0.07332436,1.1347517
274,REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS,2.2480972,0.005648106,2.2480972
277,REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,0.9838195,0.10379597,0.9838195
278,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,0.38453624,0.4125378,0.38453624
279,REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,0.7207842,0.19020231,0.7207842
280,REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,1.314745,0.048445683,1.314745
281,REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,0.74200344,0.18113258,0.74200344
282,REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,0.2836889,0.52036864,0.2836889
283,REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING,0.41794306,0.38199437,0.41794306
284,REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE,0.7893312,0.16243096,0.7893312
285,REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE,0.9247611,0.11891562,0.9247611
286,REACTOME_CRISTAE_FORMATION,1.4550161,0.035073888,1.4550161
287,REACTOME_CRMPS_IN_SEMA3A_SIGNALING,0.58159244,0.26206413,0.58159244
290,REACTOME_CTLA4_INHIBITORY_SIGNALING,0.5520306,0.2805236,0.5520306
292,REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,1.0995612,0.079513125,1.0995612
293,REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,2.3090093,0.0049089734,2.3090093
297,REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA,1.4171526,0.038269024,1.4171526
300,REACTOME_DAG_AND_IP3_SIGNALING,1.1788671,0.06624192,1.1788671
305,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,2.9573576,0.00110317,2.9573576
306,REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,2.4285161,0.0037280682,2.4285161
307,REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY,1.3124181,0.04870594,1.3124181
308,REACTOME_DEADENYLATION_OF_MRNA,2.336949,0.004603104,2.336949
309,REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,1.4165119,0.038325526,1.4165119
311,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,0.8343326,0.14644259,0.8343326
315,REACTOME_DEGRADATION_OF_AXIN,0.90808195,0.123571426,0.90808195
316,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,1.0261974,0.09414615,1.0261974
317,REACTOME_DEGRADATION_OF_DVL,0.92784846,0.118073255,0.92784846
318,REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,0.8701877,0.134838,0.8701877
321,REACTOME_DEREGULATED_CDK5_TRIGGERS_MULTIPLE_NEURODEGENERATIVE_PATHWAYS_IN_ALZHEIMER_S_DISEASE_MODELS,3.499626,0.00031650026,3.499626
322,REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,1.7746937,0.016799884,1.7746937
328,REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,2.1659677,0.0068238927,2.1659677
331,REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,2.5596807,0.002756254,2.5596807
333,REACTOME_DNA_DAMAGE_BYPASS,2.367422,0.004291191,2.367422
334,REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,1.3459508,0.04508677,1.3459508
335,REACTOME_DNA_DAMAGE_REVERSAL,0.7893312,0.16243096,0.7893312
336,REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,0.41794306,0.38199437,0.41794306
337,REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,3.0897021,0.00081338815,3.0897021
338,REACTOME_DNA_REPLICATION_PRE_INITIATION,1.2675542,0.054006476,1.2675542
340,REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.45609793,0.34986627,0.45609793
341,REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,4.1432366,7.190574e-05,4.1432366
342,REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING,3.0488248,0.0008936657,3.0488248
343,REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING,3.2972832,0.0005043323,3.2972832
344,REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,2.0896838,0.008134226,2.0896838
345,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,4.079561,8.326048e-05,4.079561
346,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,1.1189249,0.07604579,1.1189249
352,REACTOME_DUAL_INCISION_IN_GG_NER,2.5596807,0.002756254,2.5596807
353,REACTOME_DUAL_INCISION_IN_TC_NER,2.289703,0.005132123,2.289703
355,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,1.2801493,0.0524627,1.2801493
356,REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE,0.69079316,0.20380124,0.69079316
357,REACTOME_ECM_PROTEOGLYCANS,0.58159244,0.26206413,0.58159244
359,REACTOME_EGFR_DOWNREGULATION,4.079561,8.326048e-05,4.079561
361,REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION,0.61415786,0.24313201,0.61415786
364,REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT,1.8303802,0.014778139,1.8303802
370,REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS,1.3459508,0.04508677,1.3459508
371,REACTOME_EPH_EPHRIN_SIGNALING,0.7681244,0.17055938,0.7681244
372,REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION,2.5394802,0.0028874855,2.5394802
376,REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC,2.1659677,0.0068238927,2.1659677
377,REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION,1.8012038,0.01580506,1.8012038
378,REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING,1.4574388,0.03487877,1.4574388
380,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,inf,0.0,inf
383,REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,1.1092322,0.077762075,1.1092322
384,REACTOME_FANCONI_ANEMIA_PATHWAY,2.0185285,0.009582341,2.0185285
385,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,1.332158,0.046541676,1.332158
388,REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,0.58159244,0.26206413,0.58159244
390,REACTOME_FGFR2_ALTERNATIVE_SPLICING,0.38453624,0.4125378,0.38453624
391,REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION,0.47731784,0.33318248,0.47731784
392,REACTOME_FLT3_SIGNALING,3.6539788,0.00022183047,3.6539788
393,REACTOME_FLT3_SIGNALING_BY_CBL_MUTANTS,3.8250585,0.0001496034,3.8250585
394,REACTOME_FLT3_SIGNALING_IN_DISEASE,2.9547656,0.0011097735,2.9547656
397,REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,2.0185285,0.009582341,2.0185285
399,REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER,1.2801493,0.0524627,1.2801493
400,REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,0.53438026,0.29215932,0.53438026
401,REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,0.7366539,0.1833775,0.7366539
402,REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX,1.622943,0.02382632,1.622943
404,REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX,0.3050254,0.4954212,0.3050254
405,REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,0.50021476,0.31607142,0.50021476
406,REACTOME_FOXO_MEDIATED_TRANSCRIPTION,3.755207,0.00017570858,3.755207
407,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES,0.7366539,0.1833775,0.7366539
408,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES,1.699238,0.019987667,1.699238
409,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,0.61415786,0.24313201,0.61415786
415,REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,0.8003584,0.15835857,0.8003584
417,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,2.6140625,0.0024318534,2.6140625
419,REACTOME_GABA_B_RECEPTOR_ACTIVATION,1.0934682,0.08063654,1.0934682
420,REACTOME_GABA_RECEPTOR_ACTIVATION,0.92041993,0.12011025,0.92041993
421,REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,0.5520306,0.2805236,0.5520306
422,REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION,0.5520306,0.2805236,0.5520306
423,REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER,3.788167,0.00016286693,3.788167
424,REACTOME_GAP_JUNCTION_ASSEMBLY,0.7893312,0.16243096,0.7893312
425,REACTOME_GAP_JUNCTION_DEGRADATION,0.7893312,0.16243096,0.7893312
426,REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,1.2770948,0.05283299,1.2770948
429,REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,0.95126784,0.111874774,0.95126784
430,REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,1.222588,0.05989796,1.222588
431,REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION,1.0934682,0.08063654,1.0934682
432,REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,2.1659677,0.0068238927,2.1659677
433,REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS,1.3920043,0.040550455,1.3920043
434,REACTOME_GLUCONEOGENESIS,10.141032,7.2271605e-11,10.141032
435,REACTOME_GLUCOSE_METABOLISM,13.080464,8.308741e-14,13.080464
437,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0.45609793,0.34986627,0.45609793
